county.name	candidate.name	vote.percent	vote.count	state_fips	year
Autauga	Clinton	30.9	4819	01	1992
Autauga	Bush	55.9	8715	01	1992
Autauga	Perot	12.3	1916	01	1992
Autauga	Other	0.9	135	01	1992
Baldwin	Clinton	26.2	12195	01	1992
Baldwin	Bush	56.5	26270	01	1992
Baldwin	Perot	16.5	7656	01	1992
Baldwin	Other	0.8	355	01	1992
Barbour	Clinton	46.4	4836	01	1992
Barbour	Bush	42.9	4475	01	1992
Barbour	Perot	9.8	1020	01	1992
Barbour	Other	1	100	01	1992
Bibb	Clinton	43.2	2900	01	1992
Bibb	Bush	46.5	3124	01	1992
Bibb	Perot	10.2	686	01	1992
Bibb	Other	0.1	10	01	1992
Blount	Clinton	32.9	5433	01	1992
Blount	Bush	53.8	8882	01	1992
Blount	Perot	11.8	1949	01	1992
Blount	Other	1.5	241	01	1992
Bullock	Clinton	67.7	3259	01	1992
Bullock	Bush	26	1253	01	1992
Bullock	Perot	5.5	266	01	1992
Bullock	Other	0.8	38	01	1992
Butler	Clinton	47.4	4021	01	1992
Butler	Bush	41.2	3494	01	1992
Butler	Perot	10.2	867	01	1992
Butler	Other	1.1	96	01	1992
Calhoun	Clinton	38.4	16453	01	1992
Calhoun	Bush	48.2	20623	01	1992
Calhoun	Perot	11	4717	01	1992
Calhoun	Other	2.4	1007	01	1992
Chambers	Clinton	45.4	5938	01	1992
Chambers	Bush	43.4	5682	01	1992
Chambers	Perot	10.9	1427	01	1992
Chambers	Other	0.3	44	01	1992
Cherokee	Clinton	53.6	4222	01	1992
Cherokee	Bush	34.9	2745	01	1992
Cherokee	Perot	10.7	846	01	1992
Cherokee	Other	0.8	63	01	1992
Chilton	Clinton	34.2	4946	01	1992
Chilton	Bush	56.2	8126	01	1992
Chilton	Perot	9.4	1363	01	1992
Chilton	Other	0.2	33	01	1992
Choctaw	Clinton	52.1	3941	01	1992
Choctaw	Bush	40.6	3069	01	1992
Choctaw	Perot	6.5	489	01	1992
Choctaw	Other	0.8	61	01	1992
Clarke	Clinton	42.9	5023	01	1992
Clarke	Bush	46.9	5495	01	1992
Clarke	Perot	7.4	872	01	1992
Clarke	Other	2.8	327	01	1992
Clay	Clinton	36	2073	01	1992
Clay	Bush	49.7	2859	01	1992
Clay	Perot	11.3	652	01	1992
Clay	Other	3	171	01	1992
Cleburne	Clinton	40.9	2144	01	1992
Cleburne	Bush	46.3	2425	01	1992
Cleburne	Perot	12	630	01	1992
Cleburne	Other	0.7	38	01	1992
Coffee	Clinton	37.2	5776	01	1992
Coffee	Bush	48.9	7591	01	1992
Coffee	Perot	13	2021	01	1992
Coffee	Other	0.9	145	01	1992
Colbert	Clinton	54.4	12206	01	1992
Colbert	Bush	36	8073	01	1992
Colbert	Perot	9.3	2098	01	1992
Colbert	Other	0.3	62	01	1992
Conecuh	Clinton	50	3155	01	1992
Conecuh	Bush	39.1	2463	01	1992
Conecuh	Perot	8.8	552	01	1992
Conecuh	Other	2.2	137	01	1992
Coosa	Clinton	48.6	2330	01	1992
Coosa	Bush	41.1	1973	01	1992
Coosa	Perot	9.9	476	01	1992
Coosa	Other	0.4	19	01	1992
Covington	Clinton	35.8	5004	01	1992
Covington	Bush	49	6840	01	1992
Covington	Perot	13.5	1880	01	1992
Covington	Other	1.7	238	01	1992
Crenshaw	Clinton	45.4	2404	01	1992
Crenshaw	Bush	44.2	2339	01	1992
Crenshaw	Perot	9.2	485	01	1992
Crenshaw	Other	1.2	62	01	1992
Cullman	Clinton	36	10451	01	1992
Cullman	Bush	49.6	14411	01	1992
Cullman	Perot	14.2	4113	01	1992
Cullman	Other	0.2	68	01	1992
Dale	Clinton	32.3	5098	01	1992
Dale	Bush	51.5	8123	01	1992
Dale	Perot	15.3	2423	01	1992
Dale	Other	0.9	143	01	1992
Dallas	Clinton	56.4	11053	01	1992
Dallas	Bush	37.7	7394	01	1992
Dallas	Perot	5.7	1110	01	1992
Dallas	Other	0.2	47	01	1992
DeKalb	Clinton	38.2	8245	01	1992
DeKalb	Bush	48.7	10519	01	1992
DeKalb	Perot	12.7	2741	01	1992
DeKalb	Other	0.4	80	01	1992
Elmore	Clinton	30.5	6223	01	1992
Elmore	Bush	55.7	11356	01	1992
Elmore	Perot	13.6	2765	01	1992
Elmore	Other	0.2	44	01	1992
Escambia	Clinton	37.5	4809	01	1992
Escambia	Bush	46.4	5955	01	1992
Escambia	Perot	12.6	1616	01	1992
Escambia	Other	3.5	444	01	1992
Etowah	Clinton	48.4	20558	01	1992
Etowah	Bush	41.1	17467	01	1992
Etowah	Perot	10.1	4277	01	1992
Etowah	Other	0.4	149	01	1992
Fayette	Clinton	45.2	3830	01	1992
Fayette	Bush	42.6	3604	01	1992
Fayette	Perot	11.9	1012	01	1992
Fayette	Other	0.3	24	01	1992
Franklin	Clinton	50.2	5953	01	1992
Franklin	Bush	40.4	4794	01	1992
Franklin	Perot	9.1	1075	01	1992
Franklin	Other	0.3	36	01	1992
Geneva	Clinton	36.7	3622	01	1992
Geneva	Bush	49.1	4843	01	1992
Geneva	Perot	13.4	1323	01	1992
Geneva	Other	0.8	79	01	1992
Greene	Clinton	79.2	3865	01	1992
Greene	Bush	16.5	805	01	1992
Greene	Perot	4	194	01	1992
Greene	Other	0.3	17	01	1992
Hale	Clinton	57.8	3481	01	1992
Hale	Bush	33.2	2001	01	1992
Hale	Perot	8.1	486	01	1992
Hale	Other	0.9	55	01	1992
Henry	Clinton	43.1	2804	01	1992
Henry	Bush	45.7	2970	01	1992
Henry	Perot	10.3	667	01	1992
Henry	Other	0.9	58	01	1992
Houston	Clinton	29.8	8857	01	1992
Houston	Bush	58.3	17360	01	1992
Houston	Perot	11.7	3492	01	1992
Houston	Other	0.2	51	01	1992
Jackson	Clinton	56.2	10628	01	1992
Jackson	Bush	30.2	5711	01	1992
Jackson	Perot	13	2462	01	1992
Jackson	Other	0.6	115	01	1992
Jefferson	Clinton	42.1	125889	01	1992
Jefferson	Bush	50.1	149832	01	1992
Jefferson	Perot	7.4	22191	01	1992
Jefferson	Other	0.3	972	01	1992
Lamar	Clinton	41.3	2849	01	1992
Lamar	Bush	47.3	3262	01	1992
Lamar	Perot	11.1	763	01	1992
Lamar	Other	0.3	24	01	1992
Lauderdale	Clinton	47.2	15936	01	1992
Lauderdale	Bush	40.7	13728	01	1992
Lauderdale	Perot	11.9	4009	01	1992
Lauderdale	Other	0.2	83	01	1992
Lawrence	Clinton	54.9	6364	01	1992
Lawrence	Bush	30.9	3576	01	1992
Lawrence	Perot	14	1624	01	1992
Lawrence	Other	0.2	25	01	1992
Lee	Clinton	38.8	13770	01	1992
Lee	Bush	47.6	16885	01	1992
Lee	Perot	12.9	4572	01	1992
Lee	Other	0.7	263	01	1992
Limestone	Clinton	37.4	8087	01	1992
Limestone	Bush	45.7	9862	01	1992
Limestone	Perot	16.6	3584	01	1992
Limestone	Other	0.3	64	01	1992
Lowndes	Clinton	68	3500	01	1992
Lowndes	Bush	25.8	1328	01	1992
Lowndes	Perot	5.5	284	01	1992
Lowndes	Other	0.7	36	01	1992
Macon	Clinton	82.8	7253	01	1992
Macon	Bush	12.9	1134	01	1992
Macon	Perot	3.2	283	01	1992
Macon	Other	1	92	01	1992
Madison	Clinton	36.1	38974	01	1992
Madison	Bush	47.7	51444	01	1992
Madison	Perot	15.8	16989	01	1992
Madison	Other	0.4	427	01	1992
Marengo	Clinton	50.1	5632	01	1992
Marengo	Bush	39.8	4470	01	1992
Marengo	Perot	8.2	919	01	1992
Marengo	Other	2	223	01	1992
Marion	Clinton	46.5	6167	01	1992
Marion	Bush	42.9	5692	01	1992
Marion	Perot	10.5	1389	01	1992
Marion	Other	0.2	22	01	1992
Marshall	Clinton	39	10421	01	1992
Marshall	Bush	45.8	12249	01	1992
