county.name	candidate.name	vote.percent	vote.count	state_fips	year
Autauga	Mondale	28.2	3366	01	1984
Autauga	Reagan	70.1	8350	01	1984
Autauga	Other	1.7	201	01	1984
Baldwin	Mondale	22	7272	01	1984
Baldwin	Reagan	75.5	24964	01	1984
Baldwin	Other	2.4	809	01	1984
Barbour	Mondale	45.2	4591	01	1984
Barbour	Reagan	53.7	5459	01	1984
Barbour	Other	1.1	111	01	1984
Bibb	Mondale	38.1	2167	01	1984
Bibb	Reagan	61.3	3487	01	1984
Bibb	Other	0.6	33	01	1984
Blount	Mondale	29.9	3738	01	1984
Blount	Reagan	68.2	8508	01	1984
Blount	Other	1.9	236	01	1984
Bullock	Mondale	66.7	3537	01	1984
Bullock	Reagan	32	1697	01	1984
Bullock	Other	1.2	65	01	1984
Butler	Mondale	41.8	3641	01	1984
Butler	Reagan	56.7	4941	01	1984
Butler	Other	1.5	127	01	1984
Calhoun	Mondale	33.5	12752	01	1984
Calhoun	Reagan	61.2	23291	01	1984
Calhoun	Other	5.4	2039	01	1984
Chambers	Mondale	39.4	5302	01	1984
Chambers	Reagan	59.6	8024	01	1984
Chambers	Other	1	137	01	1984
Cherokee	Mondale	47.9	3029	01	1984
Cherokee	Reagan	51	3225	01	1984
Cherokee	Other	1	65	01	1984
Chilton	Mondale	25.1	2934	01	1984
Chilton	Reagan	70.5	8243	01	1984
Chilton	Other	4.4	511	01	1984
Choctaw	Mondale	45.9	3373	01	1984
Choctaw	Reagan	53.9	3960	01	1984
Choctaw	Other	0.2	16	01	1984
Clarke	Mondale	41.2	4452	01	1984
Clarke	Reagan	58.1	6282	01	1984
Clarke	Other	0.7	77	01	1984
Clay	Mondale	28.9	1456	01	1984
Clay	Reagan	68.2	3432	01	1984
Clay	Other	2.9	145	01	1984
Cleburne	Mondale	26.8	1238	01	1984
Cleburne	Reagan	70.5	3259	01	1984
Cleburne	Other	2.7	126	01	1984
Coffee	Mondale	28.9	4370	01	1984
Coffee	Reagan	69.8	10558	01	1984
Coffee	Other	1.3	190	01	1984
Colbert	Mondale	52.3	11008	01	1984
Colbert	Reagan	45.3	9530	01	1984
Colbert	Other	2.3	494	01	1984
Conecuh	Mondale	43.2	2735	01	1984
Conecuh	Reagan	55.9	3538	01	1984
Conecuh	Other	1	61	01	1984
