county.name	candidate.name	vote.percent	vote.count	state_fips	year
Autauga	Kennedy	52.2	1324	01	1960
Autauga	Nixon	45.3	1149	01	1960
Autauga	Unpledged	0	0	01	1960
Autauga	Other	2.6	65	01	1960
Baldwin	Kennedy	53.1	5647	01	1960
Baldwin	Nixon	45.2	4812	01	1960
Baldwin	Unpledged	0	0	01	1960
Baldwin	Other	1.7	177	01	1960
Barbour	Kennedy	64.5	2148	01	1960
Barbour	Nixon	35	1166	01	1960
Barbour	Unpledged	0	0	01	1960
Barbour	Other	0.5	18	01	1960
Bibb	Kennedy	61.7	1697	01	1960
Bibb	Nixon	38.2	1052	01	1960
Bibb	Unpledged	0	0	01	1960
Bibb	Other	0.1	3	01	1960
Blount	Kennedy	57	3404	01	1960
Blount	Nixon	42.8	2557	01	1960
Blount	Unpledged	0	0	01	1960
Blount	Other	0.2	13	01	1960
Bullock	Kennedy	64.5	757	01	1960
Bullock	Nixon	35.1	412	01	1960
Bullock	Unpledged	0	0	01	1960
Bullock	Other	0.4	5	01	1960
Butler	Kennedy	69.7	2872	01	1960
Butler	Nixon	29.9	1231	01	1960
Butler	Unpledged	0	0	01	1960
Butler	Other	0.4	18	01	1960
Calhoun	Kennedy	66	9590	01	1960
Calhoun	Nixon	33.2	4821	01	1960
Calhoun	Unpledged	0	0	01	1960
Calhoun	Other	0.9	125	01	1960
Chambers	Kennedy	72.7	5165	01	1960
Chambers	Nixon	26.3	1865	01	1960
Chambers	Unpledged	0	0	01	1960
Chambers	Other	1	71	01	1960
Cherokee	Kennedy	78	3097	01	1960
Cherokee	Nixon	21.9	872	01	1960
Cherokee	Unpledged	0	0	01	1960
Cherokee	Other	0.1	4	01	1960
Chilton	Kennedy	35.9	1798	01	1960
Chilton	Nixon	63.9	3201	01	1960
Chilton	Unpledged	0	0	01	1960
Chilton	Other	0.2	8	01	1960
Choctaw	Kennedy	60.8	1094	01	1960
Choctaw	Nixon	34	612	01	1960
Choctaw	Unpledged	0	0	01	1960
Choctaw	Other	5.1	92	01	1960
Clarke	Kennedy	47.3	1878	01	1960
Clarke	Nixon	50.8	2016	01	1960
Clarke	Unpledged	0	0	01	1960
Clarke	Other	1.8	73	01	1960
Clay	Kennedy	52.7	1743	01	1960
Clay	Nixon	46.8	1548	01	1960
Clay	Unpledged	0	0	01	1960
Clay	Other	0.5	16	01	1960
Cleburne	Kennedy	59.9	1510	01	1960
Cleburne	Nixon	40	1008	01	1960
Cleburne	Unpledged	0	0	01	1960
Cleburne	Other	0.2	4	01	1960
Coffee	Kennedy	76.2	4470	01	1960
