county.name	candidate.name	vote.percent	vote.count	state_fips	year
Autauga	Gore	28.7	4942	01	2000
Autauga	Bush	69.7	11993	01	2000
Autauga	Nader	0.9	160	01	2000
Autauga	Other	0.7	113	01	2000
Baldwin	Gore	24.8	13997	01	2000
Baldwin	Bush	72.4	40872	01	2000
Baldwin	Nader	1.8	1033	01	2000
Baldwin	Other	1	578	01	2000
Barbour	Gore	49.9	5188	01	2000
Barbour	Bush	49	5096	01	2000
Barbour	Nader	0.4	46	01	2000
Barbour	Other	0.6	65	01	2000
Bibb	Gore	38.2	2710	01	2000
Bibb	Bush	60.2	4273	01	2000
Bibb	Nader	0.7	52	01	2000
Bibb	Other	0.9	66	01	2000
Blount	Gore	27.7	4977	01	2000
Blount	Bush	70.5	12667	01	2000
Blount	Nader	0.9	154	01	2000
Blount	Other	1	175	01	2000
Bullock	Gore	69.2	3395	01	2000
Bullock	Bush	29.2	1433	01	2000
Bullock	Nader	0.5	24	01	2000
Bullock	Other	1.1	52	01	2000
Butler	Gore	46.2	3606	01	2000
Butler	Bush	52.9	4127	01	2000
Butler	Nader	0.5	36	01	2000
Butler	Other	0.4	34	01	2000
Calhoun	Gore	40.6	15781	01	2000
Calhoun	Bush	57.3	22306	01	2000
Calhoun	Nader	1.2	481	01	2000
Calhoun	Other	0.9	341	01	2000
Chambers	Gore	47.5	5616	01	2000
Chambers	Bush	51	6037	01	2000
Chambers	Nader	0.8	95	01	2000
Chambers	Other	0.7	86	01	2000
Cherokee	Gore	44.7	3497	01	2000
Cherokee	Bush	53.1	4154	01	2000
Cherokee	Nader	1	77	01	2000
Cherokee	Other	1.2	95	01	2000
Chilton	Gore	31.8	4806	01	2000
Chilton	Bush	66.7	10066	01	2000
Chilton	Nader	0.6	92	01	2000
Chilton	Other	0.8	128	01	2000
Choctaw	Gore	50.3	3707	01	2000
Choctaw	Bush	48.8	3600	01	2000
Choctaw	Nader	0.4	33	01	2000
Choctaw	Other	0.5	34	01	2000
Clarke	Gore	43.5	4679	01	2000
Clarke	Bush	55.7	5988	01	2000
Clarke	Nader	0.3	33	01	2000
Clarke	Other	0.5	52	01	2000
