county.name	candidate.name	vote.percent	vote.count	state_fips	year
Autauga	Obama	25.8	6093	01	2008
Autauga	McCain	73.6	17403	01	2008
Autauga	Other	0.6	145	01	2008
Baldwin	Obama	23.8	19386	01	2008
Baldwin	McCain	75.3	61271	01	2008
Baldwin	Other	0.9	756	01	2008
Barbour	Obama	49	5697	01	2008
Barbour	McCain	50.4	5866	01	2008
Barbour	Other	0.6	67	01	2008
Bibb	Obama	26.6	2299	01	2008
Bibb	McCain	72.4	6262	01	2008
Bibb	Other	1	83	01	2008
Blount	Obama	14.5	3522	01	2008
Blount	McCain	84	20389	01	2008
Blount	Other	1.5	356	01	2008
Bullock	Obama	74.1	4011	01	2008
Bullock	McCain	25.7	1391	01	2008
Bullock	Other	0.2	13	01	2008
Butler	Obama	43.1	4188	01	2008
Butler	McCain	56.5	5485	01	2008
Butler	Other	0.4	36	01	2008
Calhoun	Obama	33.2	16334	01	2008
Calhoun	McCain	65.7	32348	01	2008
Calhoun	Other	1.1	560	01	2008
Chambers	Obama	45.5	6799	01	2008
Chambers	McCain	53.9	8067	01	2008
Chambers	Other	0.6	90	01	2008
Cherokee	Obama	23.7	2306	01	2008
Cherokee	McCain	74.9	7298	01	2008
Cherokee	Other	1.4	141	01	2008
Chilton	Obama	20.7	3674	01	2008
Chilton	McCain	78.5	13960	01	2008
Chilton	Other	0.8	151	01	2008
Choctaw	Obama	46.1	3636	01	2008
Choctaw	McCain	53.5	4223	01	2008
Choctaw	Other	0.4	35	01	2008
Clarke	Obama	44	5914	01	2008
Clarke	McCain	55.6	7466	01	2008
Clarke	Other	0.4	55	01	2008
Clay	Obama	25.8	1760	01	2008
Clay	McCain	73.1	4984	01	2008
Clay	Other	1.1	75	01	2008
Cleburne	Obama	18	1168	01	2008
Cleburne	McCain	80.3	5216	01	2008
Cleburne	Other	1.7	108	01	2008
Coffee	Obama	25.2	5079	01	2008
Coffee	McCain	74.1	14919	01	2008
Coffee	Other	0.6	130	01	2008
Colbert	Obama	39.1	9703	01	2008
Colbert	McCain	59.3	14739	01	2008
Colbert	Other	1.6	401	01	2008
Conecuh	Obama	49.4	3429	01	2008
Conecuh	McCain	50	3470	01	2008
Conecuh	Other	0.6	44	01	2008
Coosa	Obama	40.9	2273	01	2008
Coosa	McCain	58.4	3248	01	2008
Coosa	Other	0.8	42	01	2008
Covington	Obama	20.5	3240	01	2008
Covington	McCain	78.8	12444	01	2008
Covington	Other	0.7	103	01	2008
Crenshaw	Obama	30.8	1938	01	2008
Crenshaw	McCain	68.7	4319	01	2008
Crenshaw	Other	0.5	34	01	2008
Cullman	Obama	16.6	5864	01	2008
Cullman	McCain	81.8	28896	01	2008
Cullman	Other	1.5	545	01	2008
Dale	Obama	27.3	5270	01	2008
Dale	McCain	71.9	13886	01	2008
Dale	Other	0.8	164	01	2008
Dallas	Obama	67.1	13986	01	2008
Dallas	McCain	32.6	6798	01	2008
Dallas	Other	0.3	68	01	2008
DeKalb	Obama	23.6	5658	01	2008
DeKalb	McCain	74.8	17957	01	2008
DeKalb	Other	1.7	400	01	2008
Elmore	Obama	24.2	8301	01	2008
Elmore	McCain	75.1	25777	01	2008
Elmore	Other	0.7	237	01	2008
Escambia	Obama	35.4	5188	01	2008
Escambia	McCain	63.9	9375	01	2008
Escambia	Other	0.8	111	01	2008
Etowah	Obama	30.2	13497	01	2008
Etowah	McCain	68.4	30595	01	2008
Etowah	Other	1.4	645	01	2008
