county.name	candidate.name	vote.percent	vote.count	state_fips	year
Autauga	Clinton	32.5	5015	01	1996
Autauga	Dole	61.7	9509	01	1996
Autauga	Perot	5.3	813	01	1996
Autauga	Other	0.6	85	01	1996
Baldwin	Clinton	27.1	12776	01	1996
Baldwin	Dole	62.6	29487	01	1996
Baldwin	Perot	9.6	4520	01	1996
Baldwin	Other	0.7	336	01	1996
Barbour	Clinton	53.5	4787	01	1996
Barbour	Dole	40.5	3627	01	1996
Barbour	Perot	5.8	515	01	1996
Barbour	Other	0.3	24	01	1996
Bibb	Clinton	44	2775	01	1996
Bibb	Dole	48.2	3037	01	1996
Bibb	Perot	7.2	455	01	1996
Bibb	Other	0.5	34	01	1996
Blount	Clinton	33	5061	01	1996
Blount	Dole	59.1	9056	01	1996
Blount	Perot	6.4	985	01	1996
Blount	Other	1.5	225	01	1996
Bullock	Clinton	70.2	3078	01	1996
Bullock	Dole	26.3	1154	01	1996
Bullock	Perot	2.5	111	01	1996
Bullock	Other	0.9	41	01	1996
Butler	Clinton	49.3	3828	01	1996
Butler	Dole	43.1	3352	01	1996
Butler	Perot	6.9	538	01	1996
Butler	Other	0.7	52	01	1996
Calhoun	Clinton	42.6	15725	01	1996
Calhoun	Dole	49	18088	01	1996
Calhoun	Perot	7.1	2613	01	1996
Calhoun	Other	1.3	485	01	1996
Chambers	Clinton	49.7	5515	01	1996
Chambers	Dole	42.4	4707	01	1996
Chambers	Perot	7.3	812	01	1996
Chambers	Other	0.6	63	01	1996
Cherokee	Clinton	52.2	4399	01	1996
Cherokee	Dole	36.2	3048	01	1996
Cherokee	Perot	10.7	899	01	1996
Cherokee	Other	0.9	75	01	1996
Chilton	Clinton	37.5	5354	01	1996
Chilton	Dole	55.4	7910	01	1996
Chilton	Perot	6.5	929	01	1996
Chilton	Other	0.6	85	01	1996
Choctaw	Clinton	57.1	4074	01	1996
Choctaw	Dole	36.8	2623	01	1996
Choctaw	Perot	5.8	413	01	1996
Choctaw	Other	0.3	21	01	1996
Clarke	Clinton	47.7	4831	01	1996
Clarke	Dole	47.3	4785	01	1996
Clarke	Perot	4.7	478	01	1996
Clarke	Other	0.2	24	01	1996
Clay	Clinton	41.4	2306	01	1996
Clay	Dole	48.4	2694	01	1996
Clay	Perot	9.7	538	01	1996
Clay	Other	0.5	30	01	1996
Cleburne	Clinton	41	1737	01	1996
Cleburne	Dole	48.6	2063	01	1996
Cleburne	Perot	9.1	385	01	1996
Cleburne	Other	1.3	56	01	1996
Coffee	Clinton	36.5	5168	01	1996
Coffee	Dole	55.1	7805	01	1996
Coffee	Perot	7.4	1042	01	1996
Coffee	Other	1	144	01	1996
Colbert	Clinton	50.3	10226	01	1996
Colbert	Dole	40.9	8305	01	1996
Colbert	Perot	8.3	1696	01	1996
Colbert	Other	0.4	91	01	1996
Conecuh	Clinton	53.2	2903	01	1996
Conecuh	Dole	38.3	2093	01	1996
Conecuh	Perot	8.1	445	01	1996
Conecuh	Other	0.4	20	01	1996
Coosa	Clinton	51.3	2121	01	1996
Coosa	Dole	41.7	1721	01	1996
Coosa	Perot	6.3	262	01	1996
Coosa	Other	0.7	27	01	1996
Covington	Clinton	38.1	4543	01	1996
Covington	Dole	50.7	6035	01	1996
Covington	Perot	9.2	1098	01	1996
Covington	Other	2	237	01	1996
