county.name	candidate.name	vote.percent	vote.count	state_fips	year
Autauga	Dukakis	31.5	3667	01	1988
Autauga	Bush	67.2	7828	01	1988
Autauga	Other	1.4	159	01	1988
Baldwin	Dukakis	26	9271	01	1988
Baldwin	Bush	72.8	25933	01	1988
Baldwin	Other	1.1	394	01	1988
Barbour	Dukakis	43.1	3836	01	1988
Barbour	Bush	55.7	4958	01	1988
Barbour	Other	1.2	105	01	1988
Bibb	Dukakis	43.6	2244	01	1988
Bibb	Bush	56.1	2885	01	1988
Bibb	Other	0.3	17	01	1988
Blount	Dukakis	33.1	4485	01	1988
Blount	Bush	64.6	8754	01	1988
Blount	Other	2.3	309	01	1988
Bullock	Dukakis	68.1	3122	01	1988
Bullock	Bush	31	1421	01	1988
Bullock	Other	0.9	41	01	1988
Butler	Dukakis	46.5	3465	01	1988
Butler	Bush	52.6	3923	01	1988
Butler	Other	1	71	01	1988
Calhoun	Dukakis	36.7	12451	01	1988
Calhoun	Bush	58.3	19806	01	1988
Calhoun	Other	5	1711	01	1988
Chambers	Dukakis	39.4	5103	01	1988
Chambers	Bush	59.4	7694	01	1988
Chambers	Other	1.2	159	01	1988
Cherokee	Dukakis	52.1	3176	01	1988
Cherokee	Bush	47	2868	01	1988
Cherokee	Other	0.9	57	01	1988
Chilton	Dukakis	30.3	3820	01	1988
Chilton	Bush	69.4	8761	01	1988
Chilton	Other	0.3	42	01	1988
Choctaw	Dukakis	49	3491	01	1988
Choctaw	Bush	50.9	3629	01	1988
Choctaw	Other	0.2	11	01	1988
Clarke	Dukakis	42.1	4217	01	1988
Clarke	Bush	57	5708	01	1988
Clarke	Other	0.9	95	01	1988
Clay	Dukakis	30.6	1602	01	1988
Clay	Bush	66.7	3496	01	1988
Clay	Other	2.7	140	01	1988
Cleburne	Dukakis	30.8	1383	01	1988
Cleburne	Bush	68.4	3071	01	1988
Cleburne	Other	0.8	36	01	1988
Coffee	Dukakis	32.3	4319	01	1988
Coffee	Bush	66.6	8890	01	1988
Coffee	Other	1.1	146	01	1988
Colbert	Dukakis	56.5	10397	01	1988
Colbert	Bush	42.2	7775	01	1988
Colbert	Other	1.3	232	01	1988
Conecuh	Dukakis	47.5	3022	01	1988
Conecuh	Bush	51.2	3256	01	1988
Conecuh	Other	1.2	79	01	1988
Coosa	Dukakis	43.4	1860	01	1988
Coosa	Bush	56.2	2405	01	1988
Coosa	Other	0.4	18	01	1988
Covington	Dukakis	31.8	3845	01	1988
Covington	Bush	67.3	8130	01	1988
Covington	Other	0.8	98	01	1988
Crenshaw	Dukakis	41	1836	01	1988
Crenshaw	Bush	58.4	2617	01	1988
Crenshaw	Other	0.6	25	01	1988
Cullman	Dukakis	36.7	8517	01	1988
Cullman	Bush	61.9	14351	01	1988
Cullman	Other	1.4	329	01	1988
Dale	Dukakis	26.9	3476	01	1988
Dale	Bush	71.8	9266	01	1988
Dale	Other	1.3	163	01	1988
Dallas	Dukakis	55.4	9660	01	1988
Dallas	Bush	43.8	7630	01	1988
Dallas	Other	0.8	133	01	1988
DeKalb	Dukakis	38.7	7333	01	1988
DeKalb	Bush	60.6	11478	01	1988
DeKalb	Other	0.7	129	01	1988
Elmore	Dukakis	29	4501	01	1988
Elmore	Bush	69.8	10852	01	1988
Elmore	Other	1.2	186	01	1988
Escambia	Dukakis	36.7	4020	01	1988
Escambia	Bush	62.1	6807	01	1988
Escambia	Other	1.2	127	01	1988
Etowah	Dukakis	49.5	17762	01	1988
Etowah	Bush	49.7	17828	01	1988
Etowah	Other	0.8	301	01	1988
Fayette	Dukakis	42.2	3186	01	1988
Fayette	Bush	57.4	4338	01	1988
Fayette	Other	0.4	33	01	1988
Franklin	Dukakis	48.4	4961	01	1988
Franklin	Bush	50.2	5146	01	1988
Franklin	Other	1.3	134	01	1988
Geneva	Dukakis	31.7	2685	01	1988
Geneva	Bush	67.3	5703	01	1988
Geneva	Other	1	84	01	1988
Greene	Dukakis	75.3	3295	01	1988
Greene	Bush	23.9	1048	01	1988
Greene	Other	0.8	34	01	1988
Hale	Dukakis	56.4	3187	01	1988
Hale	Bush	42.7	2414	01	1988
Hale	Other	0.9	51	01	1988
Henry	Dukakis	37.7	2206	01	1988
Henry	Bush	61.8	3613	01	1988
Henry	Other	0.4	25	01	1988
Houston	Dukakis	25.9	7001	01	1988
Houston	Bush	73.9	19989	01	1988
Houston	Other	0.3	71	01	1988
Jackson	Dukakis	54.3	7418	01	1988
Jackson	Bush	44.6	6090	01	1988
Jackson	Other	1.2	161	01	1988
Jefferson	Dukakis	41.8	107766	01	1988
Jefferson	Bush	57.7	148879	01	1988
Jefferson	Other	0.5	1188	01	1988
Lamar	Dukakis	41.4	2274	01	1988
Lamar	Bush	58.5	3214	01	1988
Lamar	Other	0.1	8	01	1988
Lauderdale	Dukakis	49.1	12862	01	1988
Lauderdale	Bush	49.4	12942	01	1988
Lauderdale	Other	1.4	376	01	1988
Lawrence	Dukakis	55.2	4646	01	1988
Lawrence	Bush	43	3616	01	1988
Lawrence	Other	1.8	155	01	1988
Lee	Dukakis	34	9078	01	1988
Lee	Bush	64.4	17180	01	1988
Lee	Other	1.6	425	01	1988
Limestone	Dukakis	37	5455	01	1988
Limestone	Bush	61.6	9086	01	1988
Limestone	Other	1.5	219	01	1988
Lowndes	Dukakis	69.7	3328	01	1988
Lowndes	Bush	29.4	1405	01	1988
Lowndes	Other	0.9	43	01	1988
Macon	Dukakis	81.9	6351	01	1988
Macon	Bush	16.8	1304	01	1988
Macon	Other	1.3	101	01	1988
Madison	Dukakis	32.3	25800	01	1988
Madison	Bush	67.1	53575	01	1988
Madison	Other	0.6	519	01	1988
Marengo	Dukakis	50.5	4402	01	1988
Marengo	Bush	48.6	4241	01	1988
Marengo	Other	0.9	82	01	1988
Marion	Dukakis	42.9	4505	01	1988
Marion	Bush	56.7	5955	01	1988
Marion	Other	0.4	37	01	1988
Marshall	Dukakis	36.9	7357	01	1988
Marshall	Bush	60.9	12148	01	1988
Marshall	Other	2.2	442	01	1988
Mobile	Dukakis	38.4	45524	01	1988
Mobile	Bush	60.9	72203	01	1988
Mobile	Other	0.7	870	01	1988
Monroe	Dukakis	39.2	3509	01	1988
Monroe	Bush	60.1	5379	01	1988
Monroe	Other	0.7	66	01	1988
Montgomery	Dukakis	40.8	28709	01	1988
Montgomery	Bush	58.4	41131	01	1988
Montgomery	Other	0.8	551	01	1988
Morgan	Dukakis	36	10594	01	1988
Morgan	Bush	63.5	18679	01	1988
Morgan	Other	0.4	124	01	1988
Perry	Dukakis	62.1	3574	01	1988
Perry	Bush	36.6	2107	01	1988
Perry	Other	1.3	77	01	1988
Pickens	Dukakis	44.5	3107	01	1988
Pickens	Bush	55.2	3851	01	1988
Pickens	Other	0.3	24	01	1988
Pike	Dukakis	38.8	3813	01	1988
Pike	Bush	60	5897	01	1988
Pike	Other	1.1	111	01	1988
Randolph	Dukakis	34.1	2462	01	1988
Randolph	Bush	64	4625	01	1988
Randolph	Other	1.9	137	01	1988
Russell	Dukakis	50.4	6589	01	1988
Russell	Bush	48.4	6333	01	1988
